|User|Date Created|Number of Likes|Source of Tweet|Tweet|gender|text_clean
120|bokiesitos|2022-07-05 23:56:05+00:00|0|Twitter for Android|hombre tenía q ser|male|hombre q ser
121|tinchogon_02|2022-07-05 23:56:04+00:00|0|Twitter for Android|que hombre Didi gol nomas|male|hombre didi gol nomas
122|mentaKpitalismo|2022-07-05 23:56:00+00:00|9|Twitter for Android|un sabio un día dijo: dale un pez a un hombre y comerá un día, pero dale dale don dale pa que se muevan la yales|male|sabio día dijo dale pez hombre comerá día dale dale don dale pa muevan yales
123|RuzafaPedro|2022-07-05 23:55:59+00:00|2|Twitter for Android|@rosamariaartal @eldiarioes Los señoritos no, cualquiera con dos dedos de frente. Hombre o mujer. Nadie que piense por sí mism, creerá que sirve para algo.|male|señoritos cualquiera dos dedos frente hombre mujer nadie piense mism creerá sirve
124|vito395|2022-07-05 23:55:59+00:00|2|Twitter Web App|@Hombre__Manzana cuidado, son peronistas y el nivel de daño del que son capaces para seguir en el poder no te podes imaginar|male|manzana cuidado peronistas nivel daño capaces seguir poder podes imaginar
125|justlazyrey|2022-07-05 23:55:56+00:00|0|Twitter for iPhone|@Snowki__ Hombre|male|hombre
126|AlxnFran|2022-07-05 23:55:55+00:00|0|Twitter for Android|@hugoconcandado Hombre poder puedes|male|hombre poder puedes
127|FerranAurelio|2022-07-05 23:55:55+00:00|0|Twitter for Android|@Lecturas Asi me gusta un par de cojones respondiendo a estos impresentables. Dejar a este hombre en paz, ya esta bien.|male|asi gusta par cojones respondiendo impresentables dejar hombre paz bien
128|vmpuebla|2022-07-05 23:55:51+00:00|0|Twitter for Android|"Nota Roja| Por presunta #posesión ilegal de #arma de fuego, policía estatal detiene a un hombre en #Atlixco
@SSPGobPue 
https://t.co/bqAsTeXNDz https://t.co/IjyEDn0Xe5"|male|nota roja presunta posesión ilegal arma fuego policía estatal detiene hombre atlixco
129|DianaBayona2|2022-07-05 23:55:49+00:00|4|Twitter for Android|@C_vea14 @Uncuarentonmas Claro, desafortunadamente hay mujeres que asumen que por el simple hecho de serlo tienen derecho a pisotear, abusar, burlarse o aprovecharse de un hombre, y esas malas experiencias, son las que hacen que desconfiemos los unos de los otros.|male|vea14 claro desafortunadamente mujeres asumen simple hecho serlo derecho pisotear abusar burlarse aprovecharse hombre malas experiencias hacen desconfiemos
130|aurongray|2022-07-05 23:55:47+00:00|0|Twitter Web App|@auronscomet @auronkfc sisisi vi el hombre, martillo y fuerte y solo pense en ralph|male|sisisi vi hombre martillo fuerte solo pense ralph
131|sanfranco18|2022-07-05 23:55:44+00:00|0|Twitter for iPhone|Sexto sentido mejor que el del hombre araña|male|sexto mejor hombre araña
132|mrspatotas|2022-07-05 23:55:41+00:00|1|Twitter Web App|sí hombre, yo tengo la culpa de que seas una mediocre|male|hombre culpa mediocre
133|EndiabladoEl|2022-07-05 23:55:41+00:00|0|Twitter for Android|@xtroncoso1 No hay hombre o mujer que.pueda evitar eso que vos preguntas.Todos en algun momento la pifiaron, o no hicieron algo que les hubiese gustado hacer o si lo hicieron y se arrepintieron despues.|male|hombre mujer pueda evitar vos preguntas algun momento pifiaron hicieron gustado hacer si hicieron arrepintieron despues
134|PotenciaSuicida|2022-07-05 23:55:40+00:00|0|Twitter for Android|Si yo fuera hombre me querrías, no?|male|si hombre querrías
135|emi_gambatesi|2022-07-05 23:55:38+00:00|0|Twitter for iPhone|“…Había una vez un hombre invisible que se había cansado de que no lo vieran, no es que de verdad fuera invisible, es que la gente se había acostumbrado a no verlo…”|male|vez hombre invisible cansado vieran verdad invisible gente acostumbrado verlo
136|P3RSIO|2022-07-05 23:55:36+00:00|1|Twitter for Android|@arielramir0 mira que hombre|male|mira hombre
137|GerminoSergio|2022-07-05 23:55:33+00:00|1|Twitter for Android|"@leosarro El análisis de Da Silva comparativo con Argentina es tan infantil y simplista que parece mentira que este hombre sea senador.
Infórmese, lea, asesórese y no sea ridículo. Macri pidió 56 mill. de US$ y hay que pagarlos y esto no quiere decir que el gobierno actual haga todo bien."|male|análisis da silva comparativo argentina tan infantil simplista parece mentira hombre senador infórmese lea asesórese ridículo macri pidió 56 mill us pagarlos quiere decir gobierno actual haga bien
138|necrosis1980|2022-07-05 23:55:33+00:00|2|Twitter for Android|@MarquesAramis @kiana1973 @LuceroL26837630 @NormaYarrow4 ¿Entonces una madre soltera con hijos no es familia? ¿Los abuelos criando a su nieto no son familia? ¿Los tíos, los hermanos? ¿Un hombre soltero con hijos no es familia? 🤔|male|entonces madre soltera hijos familia abuelos criando nieto familia tíos hermanos hombre soltero hijos familia
139|VioletaAlpes|2022-07-05 23:55:32+00:00|1|Twitter for Android|@MarcelaSosti El hombre araña|male|hombre araña
140|chubi_1207|2022-07-05 23:55:32+00:00|1|Twitter for Android|Lo dijo Bad bunny; No hay mujer sin herida', ni hombre que no mienta.|male|dijo bad bunny mujer herida hombre mienta
141|Ieehwn_|2022-07-05 23:55:27+00:00|0|Twitter for Android|un hombre que trate así a su familia &gt;&gt;&gt; https://t.co/Z6N5RZAjC1|male|hombre trate así familia gt gt gt
142|S_Peks_|2022-07-05 23:55:23+00:00|2|Twitter for iPhone|O porque un hombre fornica con 8 al tiempo. https://t.co/dSGCKaV2ER|male|hombre fornica 8 tiempo
143|PONCENOTICIAS|2022-07-05 23:55:23+00:00|0|Twitter for Android|FOTO DEL HOMBRE DE NOMBRE #EDGAR,  ASESINADO A TIROS EN #VILLALBA 😔❗QUE DESCANSE EN PAZ 🙏🕊❗https://t.co/vrThGwU55Q https://t.co/ujQdGIEp6H|male|foto hombre nombre edgar asesinado tiros villalba descanse paz
144|CGMontemayor|2022-07-05 23:55:18+00:00|2|Twitter Web App|@AnaWarrior @redhistoria ... entre familias de verdugos, por ejemplo, que el verdugo de Paris se casara con la hija del verdugo de otra ciudad. En el caso de este hombre, Charles Henri, él formó parte de una familia de verdugos que duró 7 generaciones y fueron los verdugos de Paris durante 159 años. ...|male|familias verdugos ejemplo verdugo paris casara hija verdugo ciudad caso hombre charles henri formó parte familia verdugos duró 7 generaciones verdugos paris 159 años
145|jpruiz8909|2022-07-05 23:55:18+00:00|0|Twitter for Android|@JohnMiltonR_ Señor Milton si realmente es un ministro, como lo conocimos por tanto tiempo, por qué no aplica los principios que deberían caracterizar a un hombre de fé. Con todo respeto, quiero decirle que creo perdió el camino, lo veo librando luchas en fuerzas humanas que no darán fruto|male|señor milton si realmente ministro conocimos tiempo aplica principios deberían caracterizar hombre fé respeto quiero decirle creo perdió camino veo librando luchas fuerzas humanas darán fruto
146|bud_hombre|2022-07-05 23:55:17+00:00|0|Twitter for Android|@LillyTellez Ay que ver que ay gente que no tiene verguenza. a jose Ramón Lopez Beltrán lo masacraron, por haber rentado una mugrosa casa en texas. oy la oposición no a hecho un solo comentario. de su líder el delincuentaso Alito Moreno. no Cabe duda que Dios pone a cada quien en su lugar.|male|ay ver ay gente verguenza jose ramón lopez beltrán masacraron haber rentado mugrosa casa texas oy oposición hecho solo comentario líder delincuentaso alito moreno cabe duda dios pone cada lugar
147|itsyasau|2022-07-05 23:55:15+00:00|1|Twitter for iPhone|@auronkfc Hombre mamadisimo con martillo #AuronPlay #AURONERS #KCAMexico|male|hombre mamadisimo martillo auronplay auroners kcamexico
148|soobintwinkk|2022-07-05 23:55:14+00:00|0|Twitter for Android|nunca saquen enredados live action no hay ningún hombre sobre la faz de la tierra q se compare a Flynn|male|nunca saquen enredados live action ningún hombre faz tierra q compare flynn
149|jhonnycortes|2022-07-05 23:55:12+00:00|0|Twitter for Android|@petrogustavo Ver a Miguel Ángel es precioso. Es un gran hombre que ha hecho mucho.|male|ver miguel ángel precioso gran hombre hecho
150|mikalexia21|2022-07-05 23:55:12+00:00|0|Twitter for Android|@kokooniee bloquea a houston y mete al hombre mas bello q me ha block|male|bloquea houston mete hombre mas bello q block
